parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1014320012,1,1432,12,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1014550021,1,1455,21,5110,2024,3,2014,NA,NA,0,421A 10 YR NO CAP,3,10,2023,Expired,No,NA
1014860001,1,1486,1,5117,2026,3,2019,NA,NA,0,421A 10 YR CAP,3,10,2028,8,No,Yes
1015540038,1,1554,38,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1015550001,1,1555,1,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1015550002,1,1555,2,5121,2021,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1015570025,1,1557,25,5120,2026,3,2023,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2057,4,Yes,NA
1015710049,1,1571,49,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1015830006,1,1583,6,5121,2026,3,2022,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2056,5,Yes,NA
1016000026,1,1600,26,5114,2026,3,2009,NA,NA,0,421A 25 YR NO CAP,22,25,2033,18,No,No
1016160030,1,1616,30,5114,2026,3,2018,NA,NA,0,421A 25 YR NO CAP,22,25,2042,9,No,No
1016160036,1,1616,36,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1016160049,1,1616,49,5114,2026,3,2013,NA,NA,104027,421A 25 YR NO CAP,22,25,2037,14,No,No
1016160052,1,1616,52,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1016230033,1,1623,33,5114,2026,3,2005,NA,NA,0,421A 25 YR NO CAP,22,25,2029,22,No,Yes
1016230040,1,1623,40,5114,2026,3,2017,NA,NA,0,421A 25 YR NO CAP,22,25,2041,10,No,No
